ministry_or_category,scheme_name,scheme_url
Women Entrepreneurship,Synd Mahila Shakti Scheme (Syndicate Bank),https://www.canarabank.com
State Level (Tamil Nadu),TIDCO – Tamil Nadu Industrial Dev. Corp Schemes,https://www.tidco.com
State Level (Tamil Nadu),TANSIDCO MSME Support Scheme,https://tansidco.org
State Level (Karnataka),Startup Karnataka Policy 2022-27,https://startup.karnataka.gov.in
State Level (Karnataka),Elevate 100 Programme,https://elevate.karnataka.gov.in
State Level (Andhra Pradesh),AP Startup Policy & Innovation,https://apinnovation.ap.gov.in
State Level (Andhra Pradesh),Vizag Fintech Valley,https://fintechvalley.in
State Level (Telangana),T-Works Prototype Manufacturing Hub,https://t-works.telangana.gov.in
State Level (Telangana),Hyderabad Pharma City Startup Scheme,https://hmda.gov.in
State Level (Maharashtra),MahaDBT – Direct Benefit Transfer for Entrepreneurs,https://mahadbt.maharashtra.gov.in
State Level (Maharashtra),Maharashtra Industrial Development Corporation (MIDC) Schemes,https://midcindia.org
